VIEW,VIDEO_ID,SIGNER_ID,FPS,RESOLUTION,GLOSS,NUM_FRAMES,LENGTH_SECONDS
front,000000,001,25.0,1080,Anh,65,2.6
front,000001,001,25.0,1080,Anh,56,2.24
front,000002,001,25.0,1080,Chị,62,2.48
front,000003,001,25.0,1080,Chị,76,3.04
front,000004,001,25.0,1080,Em,65,2.6
front,000005,001,25.0,1080,Em,74,2.96
front,000006,001,25.0,1080,Chú,55,2.2
front,000007,001,25.0,1080,Chú,65,2.6
front,000008,001,25.0,1080,Cậu,65,2.6
front,000009,001,25.0,1080,Cậu,70,2.8
front,000010,001,25.0,1080,Bác,58,2.32
front,000011,001,25.0,1080,Bác,68,2.72
front,000012,001,25.0,1080,Dì,61,2.44
front,000013,001,25.0,1080,Dì,64,2.56
front,000014,001,25.0,1080,Cô,62,2.48
front,000015,001,25.0,1080,Cô,74,2.96
front,000016,001,25.0,1080,Cháu,59,2.36
front,000017,001,25.0,1080,Cháu,68,2.72
front,000018,001,25.0,1080,Họ hàng,60,2.4
front,000019,001,25.0,1080,Họ hàng,72,2.88
front,000020,001,25.0,1080,Máy chiếu,52,2.08
front,000021,001,25.0,1080,Máy chiếu,63,2.52
front,000022,001,25.0,1080,Nồi cơm điện,60,2.4
front,000023,001,25.0,1080,Nồi cơm điện,70,2.8
front,000024,001,25.0,1080,Cái bàn,55,2.2
front,000025,001,25.0,1080,Cái bàn,60,2.4
front,000026,001,25.0,1080,Cái ghế,63,2.52
front,000027,001,25.0,1080,Cái ghế,67,2.68
front,000028,001,25.0,1080,Cái nồi,48,1.92
front,000029,001,25.0,1080,Cái nồi,63,2.52
front,000030,001,25.0,1080,Cái chảo,66,2.64
front,000031,001,25.0,1080,Cái chảo,66,2.64
front,000032,001,25.0,1080,Cái chảo,65,2.6
front,000033,001,25.0,1080,Tivi,69,2.76
front,000034,001,25.0,1080,Tivi,70,2.8
front,000035,001,25.0,1080,Cái đèn,63,2.52
front,000036,001,25.0,1080,Cái đèn,58,2.32
front,000037,001,25.0,1080,Cái đèn,66,2.64
front,000038,001,25.0,1080,Quạt (đứng),65,2.6
front,000039,001,25.0,1080,Quạt (đứng),71,2.84
front,000040,001,25.0,1080,Cái cửa,65,2.6
front,000041,001,25.0,1080,Cái cửa,70,2.8
front,000042,001,25.0,1080,Cửa sổ,57,2.28
front,000043,001,25.0,1080,Cửa sổ,74,2.96
front,000044,001,25.0,1080,Cửa sổ,67,2.68
front,000045,001,25.0,1080,Chìa khóa,65,2.6
front,000046,001,25.0,1080,Chìa khóa,61,2.44
front,000047,001,25.0,1080,Tường,60,2.4
front,000048,001,25.0,1080,Tường,62,2.48
front,000049,001,25.0,1080,Giường,56,2.24
front,000050,001,25.0,1080,Giường,69,2.76
front,000051,001,25.0,1080,Gối (đầu),59,2.36
front,000052,001,25.0,1080,Gối (đầu),65,2.6
front,000053,001,25.0,1080,Mền,54,2.16
front,000054,001,25.0,1080,Mền,55,2.2
front,000055,001,25.0,1080,Đồ dùng,60,2.4
front,000056,001,25.0,1080,Đồ dùng,59,2.36
front,000057,001,25.0,1080,Đồ dùng,68,2.72
front,000058,001,25.0,1080,Máy điều hòa,63,2.52
front,000059,001,25.0,1080,Máy điều hòa,68,2.72
front,000060,001,25.0,1080,Máy giặt,60,2.4
front,000061,001,25.0,1080,Máy giặt,67,2.68
front,000062,001,25.0,1080,Tủ lạnh,47,1.88
front,000063,001,25.0,1080,Tủ lạnh,80,3.2
front,000064,001,25.0,1080,Thành phố,62,2.48
front,000065,001,25.0,1080,Thành phố,71,2.84
front,000066,001,25.0,1080,Tỉnh,59,2.36
front,000067,001,25.0,1080,Tỉnh,65,2.6
front,000068,001,25.0,1080,Trường Đại học,75,3.0
front,000069,001,25.0,1080,Trường Đại học,85,3.4
front,000070,001,25.0,1080,Trường Cao đẳng,81,3.24
front,000071,001,25.0,1080,Trường Cao đẳng,86,3.44
front,000072,001,25.0,1080,Trường học,60,2.4
front,000073,001,25.0,1080,Trường học,64,2.56
front,000074,001,25.0,1080,Nhà,63,2.52
front,000075,001,25.0,1080,Nhà,60,2.4
front,000076,001,25.0,1080,Công ty,60,2.4
front,000077,001,25.0,1080,Công ty,61,2.44
front,000078,001,25.0,1080,Công viên,60,2.4
front,000079,001,25.0,1080,Công viên,62,2.48
front,000080,001,25.0,1080,Ngân hàng,62,2.48
front,000081,001,25.0,1080,Ngân hàng,66,2.64
front,000082,001,25.0,1080,Quán cà phê,65,2.6
front,000083,001,25.0,1080,Quán cà phê,64,2.56
front,000084,001,25.0,1080,Nhà hàng,65,2.6
front,000085,001,25.0,1080,Nhà hàng,57,2.28
front,000086,001,25.0,1080,Nhà hàng,58,2.32
front,000087,001,25.0,1080,Nhà sách,69,2.76
front,000088,001,25.0,1080,Nhà sách,62,2.48
front,000089,001,25.0,1080,Nhà sách,57,2.28
front,000090,001,25.0,1080,Bệnh viện,60,2.4
front,000091,001,25.0,1080,Bệnh viện,53,2.12
front,000092,001,25.0,1080,Chợ,60,2.4
front,000093,001,25.0,1080,Chợ,59,2.36
front,000094,001,25.0,1080,Siêu thị,57,2.28
front,000095,001,25.0,1080,Siêu thị,55,2.2
front,000096,001,25.0,1080,Nhà trọ,71,2.84
front,000097,001,25.0,1080,Nhà trọ,68,2.72
front,000098,001,25.0,1080,Rạp chiếu phim,71,2.84
front,000099,001,25.0,1080,Rạp chiếu phim,60,2.4
front,000100,001,25.0,1080,Thời tiết,75,3.0
front,000101,001,25.0,1080,Thời tiết,64,2.56
front,000102,001,25.0,1080,Mùa xuân,71,2.84
front,000103,001,25.0,1080,Mùa xuân,62,2.48
front,000104,001,25.0,1080,Mùa hè,58,2.32
front,000105,001,25.0,1080,Mùa hè,59,2.36
front,000106,001,25.0,1080,Mùa hè,61,2.44
front,000107,001,25.0,1080,Mùa hè,60,2.4
front,000108,001,25.0,1080,Mùa thu,65,2.6
front,000109,001,25.0,1080,Mùa thu,63,2.52
front,000110,001,25.0,1080,Mùa đông,61,2.44
front,000111,001,25.0,1080,Mùa đông,58,2.32
front,000112,001,25.0,1080,Mùa mưa,75,3.0
front,000113,001,25.0,1080,Mùa mưa,71,2.84
front,000114,001,25.0,1080,Mùa khô,80,3.2
front,000115,001,25.0,1080,Mùa khô,79,3.16
front,000116,001,25.0,1080,Mùa khô,75,3.0
front,000117,001,25.0,1080,Nắng,60,2.4
front,000118,001,25.0,1080,Nắng,58,2.32
front,000119,001,25.0,1080,Nắng,63,2.52
front,000120,001,25.0,1080,Nắng,57,2.28
front,000121,001,25.0,1080,Mưa,64,2.56
front,000122,001,25.0,1080,Mưa,60,2.4
front,000123,001,25.0,1080,Gió,67,2.68
front,000124,001,25.0,1080,Gió,68,2.72
front,000125,001,25.0,1080,Thứ hai,57,2.28
front,000126,001,25.0,1080,Thứ hai,57,2.28
front,000127,001,25.0,1080,Thứ ba,58,2.32
front,000128,001,25.0,1080,Thứ ba,59,2.36
front,000129,001,25.0,1080,Thứ tư,61,2.44
front,000130,001,25.0,1080,Thứ tư,60,2.4
front,000131,001,25.0,1080,Thứ năm,55,2.2
front,000132,001,25.0,1080,Thứ năm,60,2.4
front,000133,001,25.0,1080,Thứ sáu,60,2.4
front,000134,001,25.0,1080,Thứ sáu,60,2.4
front,000135,001,25.0,1080,Thứ bảy,57,2.28
front,000136,001,25.0,1080,Thứ bảy,57,2.28
front,000137,001,25.0,1080,Chủ nhật,64,2.56
front,000138,001,25.0,1080,Chủ nhật,65,2.6
front,000139,001,25.0,1080,Ngày Quốc tế Thiếu nhi,91,3.64
front,000140,001,25.0,1080,Ngày Quốc tế Thiếu nhi,82,3.28
front,000141,001,25.0,1080,Ngày Quốc tế Phụ nữ,90,3.6
front,000142,001,25.0,1080,Ngày Quốc tế Phụ nữ,78,3.12
front,000143,001,25.0,1080,Ngày Quốc tế Phụ nữ,86,3.44
front,000144,001,25.0,1080,Ngày Quốc tế Phụ nữ,74,2.96
front,000145,001,25.0,1080,Ngày Quốc tế Lao động,92,3.68
front,000146,001,25.0,1080,Ngày Quốc tế Lao động,91,3.64
front,000147,001,25.0,1080,Tháng một,60,2.4
front,000148,001,25.0,1080,Tháng một,58,2.32
front,000149,001,25.0,1080,Tháng hai,59,2.36
front,000150,001,25.0,1080,Tháng hai,59,2.36
front,000151,001,25.0,1080,Tháng ba,68,2.72
front,000152,001,25.0,1080,Tháng ba,52,2.08
front,000153,001,25.0,1080,Tháng ba,60,2.4
front,000154,001,25.0,1080,Tháng tư,55,2.2
front,000155,001,25.0,1080,Tháng tư,60,2.4
front,000156,001,25.0,1080,Tháng năm,55,2.2
front,000157,001,25.0,1080,Tháng năm,60,2.4
front,000158,001,25.0,1080,Tháng sáu,59,2.36
front,000159,001,25.0,1080,Tháng sáu,59,2.36
front,000160,001,25.0,1080,Tháng bảy,56,2.24
front,000161,001,25.0,1080,Tháng bảy,58,2.32
front,000162,001,25.0,1080,Tháng tám,56,2.24
front,000163,001,25.0,1080,Tháng chín,55,2.2
front,000164,001,25.0,1080,Tháng chín,55,2.2
front,000165,001,25.0,1080,Tháng mười,56,2.24
front,000166,001,25.0,1080,Tháng mười,63,2.52
front,000167,001,25.0,1080,Tháng mười,66,2.64
front,000168,001,25.0,1080,Tháng mười một,72,2.88
front,000169,001,25.0,1080,Tháng mười một,65,2.6
front,000170,001,25.0,1080,Tháng mười hai,79,3.16
front,000171,001,25.0,1080,Tháng mười hai,74,2.96
front,000172,001,25.0,1080,Ngày,67,2.68
front,000173,001,25.0,1080,Ngày,70,2.8
front,000174,001,25.0,1080,Tháng,60,2.4
front,000175,001,25.0,1080,Tháng,58,2.32
front,000176,001,25.0,1080,Năm,58,2.32
front,000177,001,25.0,1080,Năm,60,2.4
front,000178,001,25.0,1080,Giờ,54,2.16
front,000179,001,25.0,1080,Giờ,57,2.28
front,000180,001,25.0,1080,Giờ,58,2.32
front,000181,001,25.0,1080,Phút,53,2.12
front,000182,001,25.0,1080,Phút,55,2.2
front,000183,001,25.0,1080,Giây,61,2.44
front,000184,001,25.0,1080,Giây,61,2.44
front,000185,001,25.0,1080,Bình minh,82,3.28
front,000186,001,25.0,1080,Bình minh,92,3.68
front,000187,001,25.0,1080,Bình minh,85,3.4
front,000188,001,25.0,1080,Hoàng hôn,92,3.68
front,000189,001,25.0,1080,Hoàng hôn,75,3.0
front,000190,001,25.0,1080,Buổi sáng,60,2.4
front,000191,001,25.0,1080,Buổi sáng,60,2.4
front,000192,001,25.0,1080,Buổi trưa,65,2.6
front,000193,001,25.0,1080,Buổi trưa,68,2.72
front,000194,001,25.0,1080,Buổi chiều,62,2.48
front,000195,001,25.0,1080,Buổi chiều,62,2.48
front,000196,001,25.0,1080,Buổi tối,68,2.72
front,000197,001,25.0,1080,Buổi tối,68,2.72
front,000198,001,25.0,1080,Bây giờ,48,1.92
front,000199,001,25.0,1080,Bây giờ,60,2.4
front,000200,001,25.0,1080,Bây giờ,62,2.48
front,000201,001,25.0,1080,Thời gian,60,2.4
front,000202,001,25.0,1080,Thời gian,64,2.56
front,000203,001,25.0,1080,Thời gian,66,2.64
front,000204,001,25.0,1080,Trung thu,70,2.8
front,000205,001,25.0,1080,Trung thu,65,2.6
front,000206,001,25.0,1080,Giáng sinh,75,3.0
front,000207,001,25.0,1080,Giáng sinh,81,3.24
front,000208,001,25.0,1080,Tết Âm lịch,65,2.6
front,000209,001,25.0,1080,Tết Âm lịch,62,2.48
front,000210,001,25.0,1080,Ngày Nhà giáo Việt Nam,88,3.52
front,000211,001,25.0,1080,Ngày Nhà giáo Việt Nam,93,3.72
front,000212,001,25.0,1080,Thể dục (thể thao),67,2.68
front,000213,001,25.0,1080,Thể dục (thể thao),64,2.56
front,000214,001,25.0,1080,Bóng đá,62,2.48
front,000215,001,25.0,1080,Bóng đá,60,2.4
front,000216,001,25.0,1080,Cầu lông,52,2.08
front,000217,001,25.0,1080,Cầu lông,56,2.24
front,000218,001,25.0,1080,Bóng chuyền,61,2.44
front,000219,001,25.0,1080,Bóng chuyền,70,2.8
front,000220,001,25.0,1080,Bóng bàn,58,2.32
front,000221,001,25.0,1080,Bóng bàn,57,2.28
front,000222,001,25.0,1080,Bóng rổ,60,2.4
front,000223,001,25.0,1080,Bóng rổ,74,2.96
front,000224,001,25.0,1080,Bơi lội,72,2.88
front,000225,001,25.0,1080,Bơi lội,76,3.04
front,000226,001,25.0,1080,Nhảy dây,55,2.2
front,000227,001,25.0,1080,Nhảy dây,57,2.28
front,000228,001,25.0,1080,Chơi cờ,64,2.56
front,000229,001,25.0,1080,Chơi cờ,63,2.52
front,000230,001,25.0,1080,Võ,59,2.36
front,000231,001,25.0,1080,Võ,65,2.6
front,000232,001,25.0,1080,Điền kinh,59,2.36
front,000233,001,25.0,1080,Điền kinh,62,2.48
front,000234,001,25.0,1080,Nhảy cao,63,2.52
front,000235,001,25.0,1080,Nhảy cao,50,2.0
front,000236,001,25.0,1080,Nhảy cao,68,2.72
front,000237,001,25.0,1080,Nhảy cao,70,2.8
front,000238,001,25.0,1080,Đá cầu,60,2.4
front,000239,001,25.0,1080,Đá cầu,65,2.6
front,000240,001,25.0,1080,Đá cầu,65,2.6
front,000241,001,25.0,1080,Gạo,66,2.64
front,000242,001,25.0,1080,Gạo,67,2.68
front,000243,001,25.0,1080,Thịt,60,2.4
front,000244,001,25.0,1080,Thịt,69,2.76
front,000245,001,25.0,1080,Xôi,62,2.48
front,000246,001,25.0,1080,Xôi,66,2.64
front,000247,001,25.0,1080,Bún,54,2.16
front,000248,001,25.0,1080,Bún,65,2.6
front,000249,001,25.0,1080,Phở,56,2.24
front,000250,001,25.0,1080,Phở,65,2.6
front,000251,001,25.0,1080,Mì gói,60,2.4
front,000252,001,25.0,1080,Mì gói,65,2.6
front,000253,001,25.0,1080,Bánh bao,57,2.28
front,000254,001,25.0,1080,Bánh bao,66,2.64
front,000255,001,25.0,1080,Trứng,64,2.56
front,000256,001,25.0,1080,Trứng,68,2.72
front,000257,001,25.0,1080,Bánh xèo,68,2.72
front,000258,001,25.0,1080,Bánh xèo,75,3.0
front,000259,001,25.0,1080,Kẹo,59,2.36
front,000260,001,25.0,1080,Kẹo,68,2.72
front,000261,001,25.0,1080,Kem,59,2.36
front,000262,001,25.0,1080,Kem,51,2.04
front,000263,001,25.0,1080,Bánh chưng,56,2.24
front,000264,001,25.0,1080,Bánh tét,61,2.44
front,000265,001,25.0,1080,Bánh tét,62,2.48
front,000266,001,25.0,1080,Nước,61,2.44
front,000267,001,25.0,1080,Nước,90,3.6
front,000268,001,25.0,1080,Bia,60,2.4
front,000269,001,25.0,1080,Bia,58,2.32
front,000270,001,25.0,1080,Rượu,67,2.68
front,000271,001,25.0,1080,Rượu,69,2.76
front,000272,001,25.0,1080,Cà phê,63,2.52
front,000273,001,25.0,1080,Cà phê,58,2.32
front,000274,001,25.0,1080,Trà,57,2.28
front,000275,001,25.0,1080,Trà,55,2.2
